2012-04-05,hee1234,1,2,카드
2012-07-22,sick1234,9,1,현금
2012-08-04,ho8282,10,20,현금
2012-08-05,hyun1234,3,2,카드
2013-01-02,young1234,4,8,카드
2013-04-05,ju1234,1,2,카드
2014-03-04,taeyung1,1,2,현금
2014-08-11,woo1324,3,4,현금
2015-01-02,jiyoung1234,1,5,카드
2015-02-01,sick1234,5,2,카드
2015-02-12,jiyoung1234,4,5,카드
2015-03-04,taeyung1,2,1,카드
2015-04-02,young1234,5,11,현금
2015-04-05,hee1234,8,6,카드
2015-05-11,sick1234,4,4,현금
2015-05-30,ju1234,2,6,현금
2015-06-02,woo1324,1,2,현금
2015-06-04,ho8282,9,7,카드
2015-06-05,hyun1234,1,3,카드
2015-07-02,young1234,7,4,현금
