
1	2016-05-10	15:00:00	1	5	3
2	2016-05-11	11:15:00	3	2	2
3	2016-05-12	16:00:00	2	5	3
4	2016-05-14	17:10:00	4	7	2
5	2016-05-14	21:30:00	6	4	4
6	2016-05-15	18:15:11	3	1	2
7	2016-05-15	10:02:00	1	2	2
8	2016-05-16	11:11:00	2	4	2
9	2016-05-16	21:01:00	5	6	3
10	2016-05-17	14:31:00	4	3	1
11	2016-05-17	15:00:00	1	5	3
12	2016-05-17	11:15:00	3	2	2
13	2016-05-18	13:00:00	1	1	4
14	2016-05-18	13:30:00	1	7	2
15	2016-05-19	16:20:00	2	5	2
16	2016-05-19	20:15:11	2	7	2
17	2016-05-19	22:02:00	1	2	2
18	2016-05-21	23:11:00	6	8	4
19	2016-05-22	12:01:00	5	1	1
20	2016-05-22	14:31:00	2	2	4
