1	2	1	1	2015-05-23 1:01	8000
2	3	1	2	2015-05-23 1:01	8000
3	2	168	15	2015-07-10 20:41	8000
4	2	362	10	2015-07-10 20:53	8000
6	2	326	14	2015-07-11 17:27	8000
7	2	13	30	2015-07-11 19:11	8000
8	3	46	30	2015-07-11 19:11	8000
9	4	87	30	2015-07-12 19:12	8000
10	5	126	30	2015-07-12 19:13	8000
11	6	165	30	2015-07-13 19:13	8000
12	7	204	30	2015-07-13 19:13	8000
13	8	243	30	2015-07-14 19:14	8000
14	9	282	30	2015-07-14 19:14	8000
15	10	321	30	2015-07-15 19:15	8000
16	11	361	30	2015-07-15 19:15	8000
17	12	418	50	2015-07-16 19:16	8000
18	13	441	50	2015-07-16 19:16	8000
19	14	482	50	2015-07-17 19:17	8000
20	15	521	50	2015-07-17 19:17	8000
21	16	560	50	2015-07-18 19:18	8000
22	17	599	50	2015-07-18 19:18	8000
23	18	638	50	2015-07-19 19:19	8000
24	19	677	50	2015-07-19 19:19	8000
25	20	716	50	2015-07-20 19:20	8000
26	21	757	50	2015-07-20 19:20	8000
27	2	796	50	2015-07-21 19:22	9000
28	3	835	50	2015-07-21 19:23	9000
29	4	874	50	2015-07-22 19:23	9000
30	5	17	29	2015-07-22 19:24	8000
31	6	17	30	2015-07-23 19:25	8000
32	7	222	28	2015-07-23 19:27	8000
33	8	488	50	2015-07-24 19:27	8000
34	9	682	45	2015-07-24 19:28	8000
35	10	604	47	2015-07-25 19:28	8000
36	11	451	44	2015-07-25 19:29	8000
37	12	569	48	2015-07-26 19:29	8000
38	15	293	24	2015-07-26 19:29	8000
39	16	604	40	2015-07-27 19:30	8000
40	17	374	17	2015-07-27 19:30	8000
41	18	185	15	2015-07-28 19:31	8000
42	19	644	48	2015-07-28 19:31	8000
43	20	29	25	2015-07-29 19:31	8000
44	21	21	15	2015-07-29 19:32	8000
47	2	720	46	2015-07-30 19:35	8000
48	3	220	24	2015-07-30 19:36	8000
49	4	34	20	2015-07-31 19:36	8000
50	5	530	49	2015-07-31 19:36	8000
51	6	644	45	2015-08-01 19:37	8000
52	7	414	50	2015-08-01 19:37	8000
53	8	111	23	2015-08-02 19:38	8000
54	9	677	45	2015-08-02 19:38	8000
55	10	65	22	2015-08-03 19:38	8000
56	11	526	49	2015-08-03 19:39	8000
57	12	33	20	2015-08-04 19:40	8000
58	13	36	14	2015-08-04 19:40	8000
59	14	410	50	2015-08-05 19:41	8000
60	15	38	11	2015-08-05 19:41	8000
61	16	109	16	2015-08-06 19:42	8000
62	17	833	47	2015-08-06 19:42	9000
63	18	71	20	2015-08-07 19:42	8000
64	19	109	15	2015-08-07 19:43	8000
65	20	757	48	2015-08-08 19:43	8000
66	21	106	20	2015-08-08 19:44	8000
67	2	792	45	2015-08-09 19:44	9000
68	3	65	23	2015-08-09 19:44	8000
69	4	530	48	2015-08-10 19:45	8000
70	5	333	21	2015-08-10 19:45	8000
71	6	485	49	2015-08-11 19:45	8000
72	9	36	23	2015-08-11 19:46	8000
73	8	255	26	2015-08-12 19:47	8000
74	9	38	16	2015-08-12 19:47	8000
75	10	645	50	2015-08-13 19:48	8000
76	12	567	45	2015-08-14 19:49	8000
77	13	415	48	2015-08-14 19:49	8000
78	12	302	21	2015-08-15 19:50	8000
79	13	340	19	2015-08-15 19:51	8000
80	12	414	47	2015-08-16 19:51	8000
81	13	722	47	2015-08-16 19:51	8000
82	10	455	47	2015-08-17 19:52	8000
83	11	303	18	2015-08-17 19:52	8000
84	17	299	19	2015-08-18 19:53	8000
85	13	262	23	2015-08-18 19:54	8000
86	14	532	40	2015-08-20 19:54	8000
87	15	114	17	2015-08-20 19:54	8000
88	15	644	43	2015-08-20 19:55	8000
89	16	451	45	2015-08-21 19:55	8000
90	17	456	46	2015-08-22 19:57	8000
91	18	338	11	2015-08-22 19:57	8000
92	20	265	12	2015-08-24 19:58	8000
93	21	490	45	2015-08-24 19:59	8000
94	20	565	48	2015-08-26 20:00	8000
95	21	531	45	2015-08-26 20:00	8000
96	3	418	43	2015-08-27 20:01	8000
97	4	378	17	2015-08-27 20:01	8000
98	5	569	43	2015-08-27 20:02	8000
99	4	450	43	2015-08-28 20:02	8000
100	5	266	14	2015-08-28 20:03	8000
101	8	681	49	2015-08-29 20:04	8000
102	8	454	46	2015-08-29 20:04	8000
103	9	224	20	2015-08-31 20:05	8000
104	10	452	48	2015-09-01 20:06	8000
105	11	38	9	2015-09-01 20:06	8000
106	11	722	45	2015-09-02 20:07	8000
107	11	607	42	2015-09-02 20:07	8000
108	12	568	50	2015-09-03 20:07	8000
109	12	415	39	2015-09-03 20:08	8000
110	7	340	21	2015-09-04 20:09	8000
111	13	835	43	2015-09-04 20:10	9000
112	14	416	47	2015-09-06 20:10	8000
113	15	342	16	2015-09-06 20:11	8000
114	14	531	47	2015-09-07 20:11	8000
115	17	455	43	2015-09-07 20:12	8000
116	18	36	6	2015-09-08 20:12	8000
117	19	568	42	2015-09-08 20:13	8000
118	20	454	39	2015-09-09 20:13	8000
119	21	264	13	2015-09-09 20:13	8000
120	2	490	37	2015-09-10 20:14	8000
121	3	152	9	2015-09-10 20:14	8000
122	4	190	10	2015-09-11 20:14	8000
123	5	33	15	2015-09-11 20:15	8000
124	14	722	37	2015-09-13 20:15	8000
125	16	456	40	2015-09-13 20:18	8000
126	17	266	13	2015-09-13 20:18	8000
127	6	494	37	2015-09-14 20:19	8000
128	9	531	46	2015-09-14 20:19	8000
129	10	342	6	2015-09-15 20:20	8000
130	11	569	47	2015-09-15 20:20	8000
131	12	606	40	2015-09-15 20:21	8000
132	13	414	48	2015-09-15 20:21	8000
133	14	454	37	2015-09-16 20:21	8000
134	15	379	13	2015-09-16 20:22	8000
135	16	681	34	2015-09-17 20:22	8000
136	18	646	37	2015-09-18 20:23	8000
137	19	37	18	2015-09-18 20:23	8000
138	20	494	43	2015-09-20 20:24	8000
139	21	303	16	2015-09-20 20:24	8000
140	2	565	41	2015-09-21 20:24	8000
141	3	456	37	2015-09-21 20:25	8000
142	4	605	38	2015-09-22 20:25	8000
143	5	416	46	2015-09-22 20:26	8000
144	8	528	42	2015-09-23 20:26	8000
145	9	380	9	2015-09-23 20:27	8000
146	10	190	5	2015-09-24 20:27	8000
147	11	339	11	2015-09-24 20:28	8000
148	12	722	41	2015-09-25 20:29	8000
149	13	265	16	2015-09-25 20:29	8000
