
60	2016-05-30	1	2	2
59	2016-05-30	2	1	1
58	2016-05-29	3	1	15
57	2016-05-28	4	1	1
56	2016-05-28	1	1	3
55	2016-05-27	6	2	1
54	2016-05-22	3	2	10
53	2016-05-18	13	2	2
52	2016-05-10	11	1	4
51	2016-05-02	10	2	4
50	2016-04-30	1	3	2
49	2016-04-26	3	4	1
48	2016-04-19	4	3	2
47	2016-03-22	6	2	1
46	2015-11-21	7	2	5
45	2015-10-11	5	3	15
44	2015-09-04	10	3	6
43	2015-08-02	10	4	22
42	2015-07-06	10	1	20
41	2015-06-05	12	2	19
40	2015-06-01	13	1	17
39	2015-05-22	1	2	18
38	2015-03-30	3	1	13
37	2015-02-22	2	2	10
36	2015-01-11	5	3	3
35	2014-12-22	6	2	1
34	2014-12-14	8	1	1
33	2014-11-16	2	2	1
32	2014-10-13	9	1	3
31	2014-10-09	4	2	10
30	2014-09-08	9	3	3
29	2014-08-30	10	1	6
28	2014-05-20	11	2	10
27	2014-02-11	13	2	3
26	2014-01-19	4	3	3
25	2013-12-11	12	2	7
24	2013-11-08	6	2	10
23	2013-10-09	12	2	14
22	2013-09-02	8	2	1
21	2013-08-14	9	2	3
20	2013-07-21	7	3	1
19	2013-06-12	6	3	7
18	2013-04-03	12	1	4
17	2013-02-14	11	5	8
16	2012-12-03	5	1	1
15	2012-09-06	4	4	3
14	2012-07-02	2	2	5
13	2012-06-18	12	7	6
12	2012-05-03	13	8	1
11	2011-11-14	10	4	2
10	2011-09-18	6	3	3
9	2011-07-13	7	2	3
8	2011-05-23	5	7	1
7	2011-04-14	3	3	2
6	2011-02-23	8	4	1
5	2011-01-08	1	3	2
4	2010-12-19	2	1	1
3	2010-12-08	10	9	2
2	2010-11-06	11	2	2
1	2010-09-19	3	3	1
