6,2016001001,S002,98
2,2016001001,S004,91
7,2016001001,S007,95
8,2016001001,S009,92
9,2016001003,S001,89
10,2016001003,S002,89
11,2016001003,S004,78
12,2016001003,S009,80
13,2016001008,S001,78
14,2016001008,S002,77
16,2016001008,S007,58
15,2016001008,S008,45
21,2016002002,S001,78
3,2016002002,S002,68
22,2016002002,S007,56
23,2016002002,S009,68
17,2016002006,S001,87
18,2016002006,S007,70
19,2016002006,S008,77
20,2016002006,S009,69
4,2016003005,S001,78
5,2016003005,S002,88
1,2016003005,S004,90
24,2016003009,S001,57
26,2016003009,S005,58
25,2016003009,S009,59
28,2016004005,S004,96
27,2016004005,S007,96
29,2016004005,S009,86
30,2016004012,S007,100
31,2016004012,S009,96
